feature_id,gene_symbol,gene_title,gene_symbol_raw,multiple_gene_symbols,has_gene_symbol,interpretable_probe,logFC_T1R_R1_vs_Borderline_non_reaction,average_expression,moderated_t,raw_p_value,adjusted_p_value,log_odds,regulation,abs_logFC
A_33_P3420416,LGALS9,LGALS9,LGALS9,FALSE,TRUE,TRUE,1.018762801771428,1.9177827273636363,4.489808919081145,4.872718406915526e-5,0.00100500019672213,1.862937024815504,Up_in_T1R_R1,1.018762801771428
A_23_P23616,PLEKHN1,PLEKHN1,PLEKHN1,FALSE,TRUE,TRUE,-1.0905535619047615,2.323863448181818,-4.489440190433813,4.8785494030890864e-5,0.00100500019672213,1.8618155155763167,Down_in_T1R_R1,1.0905535619047615
A_23_P214079,SPINK1,SPINK1,SPINK1,FALSE,TRUE,TRUE,-1.2166989279809517,0.00774951518181816,-4.464226700785508,5.293896717364337e-5,0.00106868959902781,1.785205938657394,Down_in_T1R_R1,1.2166989279809517
A_23_P91081,EPCAM,EPCAM,EPCAM,FALSE,TRUE,TRUE,-1.0761571661904754,-3.9511720704545454,-4.462478990620431,5.323936383362512e-5,0.0010706633625,1.7799014185251538,Down_in_T1R_R1,1.0761571661904754
A_24_P40626,GREM2,GREM2,GREM2,FALSE,TRUE,TRUE,-1.27849057247619,0.6569265754545455,-4.459971162055566,5.367332563364314e-5,0.00107631822636876,1.7722911628217544,Down_in_T1R_R1,1.27849057247619
A_23_P7144,CXCL1,CXCL1,CXCL1,FALSE,TRUE,TRUE,1.4295607985714276,-3.403941825909091,4.439394160719463,5.736718073965886e-5,0.00112582426380077,1.7099072654489165,Up_in_T1R_R1,1.4295607985714276
A_24_P827037,LRRC15,LRRC15,LRRC15,FALSE,TRUE,TRUE,1.2367324026333322,1.289541951840909,4.431202367179546,5.890593661041753e-5,0.00114811392394737,1.6851014807117357,Up_in_T1R_R1,1.2367324026333322
A_23_P41344,EREG,EREG,EREG,FALSE,TRUE,TRUE,-1.161152853809524,-2.0226180295454546,-4.425826743681472,5.993755945886003e-5,0.00115972714989239,1.6688326205749275,Down_in_T1R_R1,1.161152853809524
A_23_P157875,FCN1,FCN1,FCN1,FALSE,TRUE,TRUE,1.211506129523809,2.760774686363636,4.412476345746861,6.257662646784551e-5,0.00119047666698864,1.6284605467296611,Up_in_T1R_R1,1.211506129523809
A_33_P3221960,IL18RAP,IL18RAP,IL18RAP,FALSE,TRUE,TRUE,1.1726490190476184,3.0447276636363636,4.404766870397616,6.415200627359254e-5,0.00120312875691705,1.6051675675077537,Up_in_T1R_R1,1.1726490190476184
A_23_P204304,PTPRO,PTPRO,PTPRO,FALSE,TRUE,TRUE,1.054829708619046,2.2307259902272727,4.394452156370268,6.632051237690195e-5,0.00123393516689982,1.5740271907297956,Up_in_T1R_R1,1.054829708619046
