feature_id,gene_symbol,gene_title,gene_symbol_raw,multiple_gene_symbols,has_gene_symbol,interpretable_probe,logFC_T1R_R1_vs_Borderline_non_reaction,average_expression,moderated_t,raw_p_value,adjusted_p_value,log_odds,regulation,abs_logFC
A_33_P3258467,SPTBN1,SPTBN1,SPTBN1,FALSE,TRUE,TRUE,-0.3965646151761904,-0.42337805725,-3.202709469381446,0.00249251925483461,0.01538157283801006,-1.7853154253037182,Down_in_T1R_R1,0.3965646151761904
A_23_P137434,RNF11,RNF11,RNF11,FALSE,TRUE,TRUE,-0.2225730050714284,-0.1138366009318182,-3.202204809532934,0.00249607383412092,0.0153943887490468,-1.786613764901145,Down_in_T1R_R1,0.2225730050714284
A_24_P247106,AK3,AK3,AK3,FALSE,TRUE,TRUE,-0.3468540386571426,-0.01141359836363636,-3.2019513600508502,0.00249786081605029,0.01539504961469663,-1.7872657673345955,Down_in_T1R_R1,0.3468540386571426
A_33_P3331188,ARHGAP23,ARHGAP23,ARHGAP23,FALSE,TRUE,TRUE,-0.6028487433619044,-0.5744752623181818,-3.2018248282428563,0.00249875339912317,0.01539504961469663,-1.7875912603022144,Down_in_T1R_R1,0.6028487433619044
A_24_P323628,RPL23AP53,RPL23AP53,RPL23AP53,FALSE,TRUE,TRUE,-0.2152164692333332,-0.39630866325,-3.201779476631051,0.00249907339269607,0.01539504961469663,-1.7877079217668097,Down_in_T1R_R1,0.2152164692333332
A_33_P3244141,NDEL1,NDEL1,NDEL1,FALSE,TRUE,TRUE,-0.33587395495238076,1.23472294,-3.200190204245617,0.00251031152822154,0.01545977402694944,-1.7917954856507157,Down_in_T1R_R1,0.33587395495238076
A_23_P35414,PPP1R3C,PPP1R3C,PPP1R3C,FALSE,TRUE,TRUE,-0.5515213249714281,0.4263066914545454,-3.1999588028797996,0.00251195180171136,0.01546086583604294,-1.7923905388905608,Down_in_T1R_R1,0.5515213249714281
A_33_P3389286,SFN,SFN,SFN,FALSE,TRUE,TRUE,-0.6132650011904757,2.101289730227273,-3.1992074189272586,0.00251728492437168,0.0154846723403725,-1.7943225544033616,Down_in_T1R_R1,0.6132650011904757
A_33_P3416762,LYPLA1,LYPLA1,LYPLA1,FALSE,TRUE,TRUE,-0.2548524777095237,-0.3127125391590909,-3.1990163820956083,0.00251864255778202,0.0154885158863197,-1.7948137181122874,Down_in_T1R_R1,0.2548524777095237
A_33_P3240702,RBBP8,RBBP8,RBBP8,FALSE,TRUE,TRUE,-0.2865752128571426,-1.4751541022727273,-3.1985571349655806,0.0025219091014906,0.01550248273298256,-1.795994387574198,Down_in_T1R_R1,0.2865752128571426
A_23_P360167,DCTN2,DCTN2,DCTN2,FALSE,TRUE,TRUE,-0.14875336451428553,-0.29620800718181817,-3.198490881197373,0.00252238068313432,0.01550248273298256,-1.7961647094420812,Down_in_T1R_R1,0.14875336451428553
